haplotype_id,sample_id,population,country,region,sex,core_haplotype,network_haplotype_group,hierarchy_haplotype_group
AC0192-Ca,AC0192-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0192-Cb,AC0192-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0193-Ca,AC0193-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0193-Cb,AC0193-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0194-Ca,AC0194-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0194-Cb,AC0194-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0195-Ca,AC0195-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0195-Cb,AC0195-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0196-Ca,AC0196-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0196-Cb,AC0196-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0197-Ca,AC0197-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0197-Cb,AC0197-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0199-Ca,AC0199-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0199-Cb,AC0199-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0200-Ca,AC0200-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0200-Cb,AC0200-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0201-Ca,AC0201-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0201-Cb,AC0201-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0202-Ca,AC0202-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0202-Cb,AC0202-C,UGS,Uganda,"Nagongera, Tororo",F,S1,S1,S1
AC0203-Ca,AC0203-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AC0203-Cb,AC0203-C,UGS,Uganda,"Nagongera, Tororo",F,S3,S3,S3
AJ0023-Ca,AJ0023-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0023-Cb,AJ0023-C,GWA,Guinea-Bissau,Antula,F,WT35,WT,
AJ0024-Ca,AJ0024-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0024-Cb,AJ0024-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0032-Ca,AJ0032-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0032-Cb,AJ0032-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0035-Ca,AJ0035-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0035-Cb,AJ0035-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0036-Ca,AJ0036-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0036-Cb,AJ0036-C,GWA,Guinea-Bissau,Antula,F,WT18,WT,
AJ0039-Ca,AJ0039-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0039-Cb,AJ0039-C,GWA,Guinea-Bissau,Antula,F,WT09,WT,
AJ0043-Ca,AJ0043-C,GWA,Guinea-Bissau,Antula,F,WT05,WT,
AJ0043-Cb,AJ0043-C,GWA,Guinea-Bissau,Antula,F,WT20,WT,
AJ0044-Ca,AJ0044-C,GWA,Guinea-Bissau,Antula,F,WT21,WT,
AJ0044-Cb,AJ0044-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0045-Ca,AJ0045-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0045-Cb,AJ0045-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0047-Ca,AJ0047-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0047-Cb,AJ0047-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0051-Ca,AJ0051-C,GWA,Guinea-Bissau,Antula,F,WT22,WT,
AJ0051-Cb,AJ0051-C,GWA,Guinea-Bissau,Antula,F,L1,WT,
AJ0052-Ca,AJ0052-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0052-Cb,AJ0052-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0056-Ca,AJ0056-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0056-Cb,AJ0056-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0061-Ca,AJ0061-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0061-Cb,AJ0061-C,GWA,Guinea-Bissau,Antula,F,WT02,WT,
AJ0063-Ca,AJ0063-C,GWA,Guinea-Bissau,Antula,F,WT06,WT,
AJ0063-Cb,AJ0063-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0064-Ca,AJ0064-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0064-Cb,AJ0064-C,GWA,Guinea-Bissau,Antula,F,WT36,WT,
AJ0066-Ca,AJ0066-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0066-Cb,AJ0066-C,GWA,Guinea-Bissau,Antula,F,WT02,WT,
AJ0070-Ca,AJ0070-C,GWA,Guinea-Bissau,Antula,F,WT15,WT,
AJ0070-Cb,AJ0070-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0071-Ca,AJ0071-C,GWA,Guinea-Bissau,Antula,F,WT20,WT,
AJ0071-Cb,AJ0071-C,GWA,Guinea-Bissau,Antula,F,WT23,WT,
AJ0072-Ca,AJ0072-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0072-Cb,AJ0072-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0074-Ca,AJ0074-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0074-Cb,AJ0074-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0075-Ca,AJ0075-C,GWA,Guinea-Bissau,Antula,F,WT24,WT,
AJ0075-Cb,AJ0075-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0076-Ca,AJ0076-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0076-Cb,AJ0076-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0077-Ca,AJ0077-C,GWA,Guinea-Bissau,Antula,F,WT09,WT,
AJ0077-Cb,AJ0077-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0078-Ca,AJ0078-C,GWA,Guinea-Bissau,Antula,F,WT25,WT,
AJ0078-Cb,AJ0078-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0081-Ca,AJ0081-C,GWA,Guinea-Bissau,Antula,F,WT05,WT,
AJ0081-Cb,AJ0081-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0084-Ca,AJ0084-C,GWA,Guinea-Bissau,Antula,F,WT26,WT,
AJ0084-Cb,AJ0084-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0085-Ca,AJ0085-C,GWA,Guinea-Bissau,Antula,F,WT37,WT,
AJ0085-Cb,AJ0085-C,GWA,Guinea-Bissau,Antula,F,WT05,WT,
AJ0086-Ca,AJ0086-C,GWA,Guinea-Bissau,Antula,F,WT38,WT,
AJ0086-Cb,AJ0086-C,GWA,Guinea-Bissau,Antula,F,WT39,WT,
AJ0088-Ca,AJ0088-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0088-Cb,AJ0088-C,GWA,Guinea-Bissau,Antula,F,WT25,WT,
AJ0090-Ca,AJ0090-C,GWA,Guinea-Bissau,Antula,F,WT05,WT,
AJ0090-Cb,AJ0090-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0092-Ca,AJ0092-C,GWA,Guinea-Bissau,Antula,F,WT23,WT,
AJ0092-Cb,AJ0092-C,GWA,Guinea-Bissau,Antula,F,WT15,WT,
AJ0093-Ca,AJ0093-C,GWA,Guinea-Bissau,Antula,F,WT15,WT,
AJ0093-Cb,AJ0093-C,GWA,Guinea-Bissau,Antula,F,WT22,WT,
AJ0096-Ca,AJ0096-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0096-Cb,AJ0096-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0097-Ca,AJ0097-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0097-Cb,AJ0097-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0098-Ca,AJ0098-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0098-Cb,AJ0098-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0100-Ca,AJ0100-C,GWA,Guinea-Bissau,Antula,F,WT09,WT,
AJ0100-Cb,AJ0100-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0101-Ca,AJ0101-C,GWA,Guinea-Bissau,Antula,F,WT02,WT,
AJ0101-Cb,AJ0101-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0102-Ca,AJ0102-C,GWA,Guinea-Bissau,Antula,F,WT40,WT,
AJ0102-Cb,AJ0102-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0103-Ca,AJ0103-C,GWA,Guinea-Bissau,Antula,F,WT26,WT,
AJ0103-Cb,AJ0103-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0105-Ca,AJ0105-C,GWA,Guinea-Bissau,Antula,F,WT01,WT,
AJ0105-Cb,AJ0105-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0107-Ca,AJ0107-C,GWA,Guinea-Bissau,Antula,F,WT03,WT,
AJ0107-Cb,AJ0107-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AJ0109-Ca,AJ0109-C,GWA,Guinea-Bissau,Antula,F,WT02,WT,
AJ0109-Cb,AJ0109-C,GWA,Guinea-Bissau,Antula,F,WT41,WT,
AJ0113-Ca,AJ0113-C,GWA,Guinea-Bissau,Antula,F,WT05,WT,
AJ0113-Cb,AJ0113-C,GWA,Guinea-Bissau,Antula,F,WT24,WT,
AJ0115-Ca,AJ0115-C,GWA,Guinea-Bissau,Antula,F,WT09,WT,
AJ0115-Cb,AJ0115-C,GWA,Guinea-Bissau,Antula,F,WT02,WT,
AJ0116-Ca,AJ0116-C,GWA,Guinea-Bissau,Antula,F,WT21,WT,
AJ0116-Cb,AJ0116-C,GWA,Guinea-Bissau,Antula,F,WT07,WT,
AK0065-Ca,AK0065-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0065-Cb,AK0065-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0066-Ca,AK0066-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0066-Cb,AK0066-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0067-Ca,AK0067-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0067-Cb,AK0067-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0068-Ca,AK0068-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0068-Cb,AK0068-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0069-Ca,AK0069-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0069-Cb,AK0069-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0070-Ca,AK0070-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0070-Cb,AK0070-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0072-Ca,AK0072-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0072-Cb,AK0072-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0073-Ca,AK0073-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0073-Cb,AK0073-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0074-Ca,AK0074-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0074-Cb,AK0074-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0075-Ca,AK0075-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0075-Cb,AK0075-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0076-Ca,AK0076-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0076-Cb,AK0076-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0077-Ca,AK0077-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0077-Cb,AK0077-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0078-Ca,AK0078-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0078-Cb,AK0078-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0079-Ca,AK0079-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0079-Cb,AK0079-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0080-Ca,AK0080-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0080-Cb,AK0080-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0081-Ca,AK0081-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0081-Cb,AK0081-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0082-Ca,AK0082-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0082-Cb,AK0082-C,KES,Kenya,Kilifi-Mbogolo,F,WT02,WT,
AK0085-Ca,AK0085-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0085-Cb,AK0085-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0086-Ca,AK0086-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0086-Cb,AK0086-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0087-Ca,AK0087-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0087-Cb,AK0087-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0088-Ca,AK0088-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0088-Cb,AK0088-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0089-Ca,AK0089-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0089-Cb,AK0089-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0090-Ca,AK0090-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0090-Cb,AK0090-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0091-Ca,AK0091-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0091-Cb,AK0091-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0092-Ca,AK0092-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0092-Cb,AK0092-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0093-Ca,AK0093-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0093-Cb,AK0093-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0094-Ca,AK0094-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0094-Cb,AK0094-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0095-Ca,AK0095-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0095-Cb,AK0095-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0096-Ca,AK0096-C,KES,Kenya,Kilifi-Junju,F,SX01,S3,S3
AK0096-Cb,AK0096-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0098-Ca,AK0098-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0098-Cb,AK0098-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0099-Ca,AK0099-C,KES,Kenya,Kilifi-Junju,F,WT02,WT,
AK0099-Cb,AK0099-C,KES,Kenya,Kilifi-Junju,F,L2,L2,
AK0100-Ca,AK0100-C,KES,Kenya,Kilifi-Junju,F,SX01,S3,S3
AK0100-Cb,AK0100-C,KES,Kenya,Kilifi-Junju,F,WT02,WT,
AK0101-Ca,AK0101-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0101-Cb,AK0101-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0102-Ca,AK0102-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0102-Cb,AK0102-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0103-Ca,AK0103-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0103-Cb,AK0103-C,KES,Kenya,Kilifi-Junju,F,L2,L2,
AK0104-Ca,AK0104-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0104-Cb,AK0104-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0105-Ca,AK0105-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0105-Cb,AK0105-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0106-Ca,AK0106-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0106-Cb,AK0106-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0108-Ca,AK0108-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0108-Cb,AK0108-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0109-Ca,AK0109-C,KES,Kenya,Kilifi-Junju,F,WT02,WT,
AK0109-Cb,AK0109-C,KES,Kenya,Kilifi-Junju,F,L2,L2,
AK0110-Ca,AK0110-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0110-Cb,AK0110-C,KES,Kenya,Kilifi-Junju,F,S3,S3,S3
AK0116-Ca,AK0116-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0116-Cb,AK0116-C,KES,Kenya,Kilifi-Mbogolo,F,SX01,S3,S3
AK0119-Ca,AK0119-C,KES,Kenya,Kilifi-Mbogolo,F,WT02,WT,
AK0119-Cb,AK0119-C,KES,Kenya,Kilifi-Mbogolo,F,L2,L2,
AK0127-Ca,AK0127-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AK0127-Cb,AK0127-C,KES,Kenya,Kilifi-Mbogolo,F,S3,S3,S3
AN0007-Ca,AN0007-C,CMS,Cameroon,Mayos,F,S4,S4,S4
AN0007-Cb,AN0007-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0008-Ca,AN0008-C,CMS,Cameroon,Mayos,F,F1,F1,F1
AN0008-Cb,AN0008-C,CMS,Cameroon,Mayos,F,WT01,WT,
AN0009-Ca,AN0009-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0009-Cb,AN0009-C,CMS,Cameroon,Mayos,F,WT02,WT,
AN0010-Ca,AN0010-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0010-Cb,AN0010-C,CMS,Cameroon,Mayos,F,F1,F1,F1
AN0011-Ca,AN0011-C,CMS,Cameroon,Mayos,F,F1,F1,F1
AN0011-Cb,AN0011-C,CMS,Cameroon,Mayos,F,WT06,WT,
AN0012-Ca,AN0012-C,CMS,Cameroon,Mayos,F,F4,F4,F4
AN0012-Cb,AN0012-C,CMS,Cameroon,Mayos,F,WT02,WT,
AN0014-Ca,AN0014-C,CMS,Cameroon,Mayos,F,WT02,WT,
AN0014-Cb,AN0014-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0016-Ca,AN0016-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0016-Cb,AN0016-C,CMS,Cameroon,Mayos,F,WT01,WT,
AN0017-Ca,AN0017-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0017-Cb,AN0017-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0018-Ca,AN0018-C,CMS,Cameroon,Mayos,F,F5,F5,F5
AN0018-Cb,AN0018-C,CMS,Cameroon,Mayos,F,F4,F4,
AN0019-Ca,AN0019-C,CMS,Cameroon,Mayos,F,F1,F1,F1
AN0019-Cb,AN0019-C,CMS,Cameroon,Mayos,F,F3,F3,F3
AN0020-Ca,AN0020-C,CMS,Cameroon,Mayos,F,S4,SX,S4
AN0020-Cb,AN0020-C,CMS,Cameroon,Mayos,F,WT27,WT,
AN0022-Ca,AN0022-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0022-Cb,AN0022-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,
AN0023-Ca,AN0023-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0023-Cb,AN0023-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0024-Ca,AN0024-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0024-Cb,AN0024-C,CMS,Cameroon,Gado-Badzere,M,F3,F3,F3
AN0025-Ca,AN0025-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,F4
AN0025-Cb,AN0025-C,CMS,Cameroon,Gado-Badzere,M,WT01,WT,
AN0026-Ca,AN0026-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,
AN0026-Cb,AN0026-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0027-Ca,AN0027-C,CMS,Cameroon,Gado-Badzere,M,F3,F3,F3
AN0027-Cb,AN0027-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,F4
AN0028-Ca,AN0028-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0028-Cb,AN0028-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,
AN0029-Ca,AN0029-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0029-Cb,AN0029-C,CMS,Cameroon,Gado-Badzere,M,WT05,WT,F3
AN0030-Ca,AN0030-C,CMS,Cameroon,Gado-Badzere,M,S5,S5,S5
AN0030-Cb,AN0030-C,CMS,Cameroon,Gado-Badzere,M,S4,S4,S4
AN0031-Ca,AN0031-C,CMS,Cameroon,Gado-Badzere,M,F1,F1,F1
AN0031-Cb,AN0031-C,CMS,Cameroon,Gado-Badzere,M,SX02,SX,F5
AN0032-Ca,AN0032-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,F4
AN0032-Cb,AN0032-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0033-Ca,AN0033-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0033-Cb,AN0033-C,CMS,Cameroon,Gado-Badzere,M,F3,F3,F3
AN0034-Ca,AN0034-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0034-Cb,AN0034-C,CMS,Cameroon,Gado-Badzere,M,WT04,WT,
AN0035-Ca,AN0035-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0035-Cb,AN0035-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0036-Ca,AN0036-C,CMS,Cameroon,Gado-Badzere,M,F4,F4,F4
AN0036-Cb,AN0036-C,CMS,Cameroon,Gado-Badzere,M,F5,F5,F5
AN0037-Ca,AN0037-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0037-Cb,AN0037-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0038-Ca,AN0038-C,CMS,Cameroon,Gado-Badzere,F,F3,F3,F3
AN0038-Cb,AN0038-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0039-Ca,AN0039-C,CMS,Cameroon,Gado-Badzere,F,WT28,WT,
AN0039-Cb,AN0039-C,CMS,Cameroon,Gado-Badzere,F,FX01,F5,F5
AN0040-Ca,AN0040-C,CMS,Cameroon,Gado-Badzere,F,S5,SX,S5
AN0040-Cb,AN0040-C,CMS,Cameroon,Gado-Badzere,F,WT02,WT,
AN0041-Ca,AN0041-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0041-Cb,AN0041-C,CMS,Cameroon,Gado-Badzere,F,F3,F3,F3
AN0042-Ca,AN0042-C,CMS,Cameroon,Gado-Badzere,F,WT08,WT,
AN0042-Cb,AN0042-C,CMS,Cameroon,Gado-Badzere,F,WT42,WT,
AN0043-Ca,AN0043-C,CMS,Cameroon,Gado-Badzere,F,S4,S4,S4
AN0043-Cb,AN0043-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0045-Ca,AN0045-C,CMS,Cameroon,Gado-Badzere,F,WT02,WT,
AN0045-Cb,AN0045-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0046-Ca,AN0046-C,CMS,Cameroon,Gado-Badzere,F,S4,S4,S4
AN0046-Cb,AN0046-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0047-Ca,AN0047-C,CMS,Cameroon,Gado-Badzere,F,S5,S5,S5
AN0047-Cb,AN0047-C,CMS,Cameroon,Gado-Badzere,F,S4,S4,S4
AN0048-Ca,AN0048-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,
AN0048-Cb,AN0048-C,CMS,Cameroon,Gado-Badzere,F,S5,S5,S5
AN0049-Ca,AN0049-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,F4
AN0049-Cb,AN0049-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,F4
AN0050-Ca,AN0050-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,
AN0050-Cb,AN0050-C,CMS,Cameroon,Gado-Badzere,F,WT01,WT,
AN0051-Ca,AN0051-C,CMS,Cameroon,Gado-Badzere,F,S5,S5,S5
AN0051-Cb,AN0051-C,CMS,Cameroon,Gado-Badzere,F,WT01,WT,
AN0053-Ca,AN0053-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0053-Cb,AN0053-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,
AN0054-Ca,AN0054-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,F4
AN0054-Cb,AN0054-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0055-Ca,AN0055-C,CMS,Cameroon,Gado-Badzere,F,WT29,WT,
AN0055-Cb,AN0055-C,CMS,Cameroon,Gado-Badzere,F,S4,S4,S4
AN0056-Ca,AN0056-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,F4
AN0056-Cb,AN0056-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0057-Ca,AN0057-C,CMS,Cameroon,Gado-Badzere,F,WT04,WT,
AN0057-Cb,AN0057-C,CMS,Cameroon,Gado-Badzere,F,WT08,WT,
AN0058-Ca,AN0058-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0058-Cb,AN0058-C,CMS,Cameroon,Gado-Badzere,F,WT10,WT,
AN0059-Ca,AN0059-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,F4
AN0059-Cb,AN0059-C,CMS,Cameroon,Gado-Badzere,F,F2,F2,F2
AN0060-Ca,AN0060-C,CMS,Cameroon,Gado-Badzere,F,F5,F5,F5
AN0060-Cb,AN0060-C,CMS,Cameroon,Gado-Badzere,F,F4,F4,
AN0063-Ca,AN0063-C,CMS,Cameroon,Zembe-Borongo,F,WT43,WT,
AN0063-Cb,AN0063-C,CMS,Cameroon,Zembe-Borongo,F,WT05,WT,
AN0064-Ca,AN0064-C,CMS,Cameroon,Zembe-Borongo,F,WT05,WT,F3
